id,Date,Open,Close,High,Low,Shares_Traded,Turnover,created_at,created_by,updated_at,updated_by,status
95,2019-02-04,10876.75,10927.9,10814.15,10912.25,318300039,15478.81,,,,,
96,2019-02-05,10908.65,10956.7,10886.7,10934.35,268095127,13435.13,,,,,
97,2019-02-06,10965.1,11072.6,10962.7,11062.45,298510497,15172.85,,,,,
98,2019-02-07,11070.45,11118.1,11043.6,11069.4,263544426,13542.69,,,,,
99,2019-02-08,11023.5,11041.2,10925.45,10943.6,352787419,15507.05,,,,,
100,2019-02-11,10930.9,10930.9,10857.1,10888.8,285985383,13818.92,,,,,
101,2019-02-12,10879.7,10910.9,10823.8,10831.4,292314643,14424.78,,,,,
102,2019-02-13,10870.55,10891.65,10772.1,10793.65,321958549,15360.98,,,,,
103,2019-02-14,10786.1,10792.7,10718.75,10746.05,627041405,20797.41,,,,,
104,2019-02-15,10780.25,10785.75,10620.4,10724.4,521876968,20733.95,,,,,
105,2019-02-18,10738.65,10759.9,10628.4,10640.95,345440240,14903.19,,,,,
106,2019-02-19,10636.7,10722.85,10585.65,10604.35,291507060,13765.01,,,,,
107,2019-02-20,10655.45,10752.7,10646.4,10735.45,289195306,13209.71,,,,,
108,2019-02-21,10744.1,10808.85,10721.5,10789.85,279584955,14758.5,,,,,
109,2019-02-22,10782.7,10801.55,10758.4,10791.65,396846597,24386.42,,,,,
110,2019-02-25,10813.25,10887.1,10788.05,10880.1,385905142,16466.09,,,,,
111,2019-02-26,10775.3,10888.75,10729.3,10835.3,414954476,19186.75,,,,,
112,2019-02-27,10881.2,10939.7,10751.2,10806.65,381080073,18313.85,,,,,
113,2019-02-28,10865.7,10865.7,10784.85,10792.5,644159018,27123.34,,,,,
114,2019-03-01,10842.65,10877.9,10823.1,10863.5,308526309,15010.06,,,,,
115,2019-03-05,10864.85,10994.9,10817,10987.45,373220239,17960.03,,,,,
116,2019-03-06,11024.85,11062.3,10998.85,11053,372550850,17850.93,,,,,
117,2019-03-07,11077.95,11089.05,11027.1,11058.2,321208766,15321.68,,,,,
118,2019-03-08,11038.85,11049,11008.95,11035.4,326569833,14369.77,,,,,
119,2019-03-11,11068.75,11180.9,11059.85,11168.05,352242287,17349.95,,,,,
120,2019-03-12,11231.35,11320.4,11227,11301.2,391310519,20861.35,,,,,
121,2019-03-13,11326.2,11352.3,11276.6,11341.7,382996187,20851.67,,,,,
122,2019-03-14,11382.5,11383.45,11313.75,11343.25,294480678,15661.05,,,,,
123,2019-03-15,11376.85,11487,11370.8,11426.85,463704896,25143.26,,,,,
124,2019-03-18,11473.85,11530.15,11412.5,11462.2,320250041,16942.22,,,,,
125,2019-03-19,11500.3,11543.85,11451.25,11532.4,326099667,16179.92,,,,,
126,2019-03-20,11553.35,11556.1,11503.1,11521.05,366298049,18311.44,,,,,
127,2019-03-22,11549.2,11572.8,11434.55,11456.9,386193935,19755.74,,,,,
128,2019-03-25,11395.65,11395.65,11311.6,11354.25,294459196,14101.14,,,,,
129,2019-03-26,11375.2,11496.75,11352.45,11483.25,282575496,14611.68,,,,,
130,2019-03-27,11531.45,11546.2,11413,11445.05,350446089,18356.52,,,,,
131,2019-03-28,11463.65,11588.5,11452.45,11570,527678809,25719.65,,,,,
132,2019-03-29,11625.45,11630.35,11570.15,11623.9,416276981,20515.25,,,,,
133,2019-04-01,11665.2,11738.1,11644.75,11669.15,379572660,18977.99,,,,,
134,2019-04-02,11711.55,11729.35,11655.85,11713.2,386131413,18673.7,,,,,
135,2019-04-03,11735.3,11761,11629.15,11643.95,365760070,19050.95,,,,,
136,2019-04-04,11660.2,11662.55,11559.2,11598,349029830,19713.01,,,,,
137,2019-04-05,11638.4,11689.65,11609.5,11665.95,266665797,15000.35,,,,,
138,2019-04-08,11704.35,11710.3,11549.1,11604.5,260932608,14203.96,,,,,
139,2019-04-09,11612.05,11683.9,11569.7,11671.95,300467538,15984.39,,,,,
140,2019-04-10,11646.85,11680.05,11571.75,11584.3,359941110,22258.46,,,,,
141,2019-04-11,11592.55,11606.7,11550.55,11596.7,279775726,14332.2,,,,,
